Date,Open,High,Low,Close
04-Jan-10,5200.9,5238.45,5167.1,5232.2
05-Jan-10,5277.15,5288.35,5242.4,5277.9
06-Jan-10,5278.15,5310.85,5260.05,5281.8
07-Jan-10,5281.8,5302.55,5244.75,5263.1
08-Jan-10,5264.25,5276.75,5234.7,5244.7
11-Jan-10,5263.8,5287.2,5227.8,5249.4
12-Jan-10,5251.1,5300.5,5200.95,5210.4
13-Jan-10,5212.6,5239.2,5169.55,5233.9
14-Jan-10,5234.5,5272.85,5232.5,5259.9
15-Jan-10,5259.9,5279.85,5242.45,5252.2
18-Jan-10,5253.65,5292.5,5228.95,5274.8
19-Jan-10,5274.2,5287.8,5218.65,5225.6
20-Jan-10,5226.1,5256.7,5201.4,5221.7
21-Jan-10,5220.2,5220.35,5085.45,5094.1
22-Jan-10,5094.15,5094.15,4954.85,5036
25-Jan-10,5034.55,5035.7,4983.05,5007.9
27-Jan-10,5008.5,5008.5,4833.05,4853.1
28-Jan-10,4863,4929.9,4824.95,4867.2
29-Jan-10,4866.15,4893.7,4766,4882
01-Feb-10,4882.05,4918.8,4827.15,4899.7
02-Feb-10,4907.85,4951.15,4814.1,4830.1
03-Feb-10,4831,4949.15,4831,4931.8
04-Feb-10,4931.3,4931.3,4832.35,4845.3
05-Feb-10,4819.65,4827,4692.35,4718.6
06-Feb-10,4712.75,4768.15,4712.75,4757.2
08-Feb-10,4755.35,4799.05,4675.4,4760.4
09-Feb-10,4760.55,4810.4,4739.35,4792.6
10-Feb-10,4793,4826.85,4748.1,4757.2
11-Feb-10,4757.25,4843.8,4757.25,4826.8
15-Feb-10,4827.9,4845.6,4783.9,4801.9
16-Feb-10,4801.8,4880,4791.35,4855.7
17-Feb-10,4858.65,4929.7,4857.6,4914
18-Feb-10,4915.1,4922.05,4873.7,4887.7
19-Feb-10,4887.3,4887.3,4805.55,4844.9
22-Feb-10,4849.35,4912.05,4845.9,4856.4
23-Feb-10,4856.6,4884.1,4833.15,4870
24-Feb-10,4869.55,4880.55,4834.65,4858.6
25-Feb-10,4859,4880.15,4835.6,4859.7
26-Feb-10,4858.5,4992,4858.45,4922.3
02-Mar-10,4935.6,5029.45,4935.35,5017
03-Mar-10,5015.8,5093.25,5015.1,5088.1
04-Mar-10,5096.95,5096.95,5049,5080.2
05-Mar-10,5080.55,5118.65,5068.05,5088.7
08-Mar-10,5092.15,5147.1,5092.15,5124
09-Mar-10,5121.05,5131.8,5094.35,5101.5
10-Mar-10,5101.6,5137.4,5092.05,5116.2
11-Mar-10,5116.35,5152.6,5102.1,5133.4
12-Mar-10,5131.8,5158.1,5122.1,5137
15-Mar-10,5134.45,5151.05,5101.2,5128.9
16-Mar-10,5128.95,5209.25,5125.7,5198.1
17-Mar-10,5198.45,5260.5,5177.15,5231.9
18-Mar-10,5232.55,5255.65,5214.4,5245.9
19-Mar-10,5246.8,5269.95,5237.1,5262.8
22-Mar-10,5260.95,5260.95,5187.05,5205.2
23-Mar-10,5205.85,5243.6,5193.4,5225.3
25-Mar-10,5225.3,5267.3,5202.95,5260.4
26-Mar-10,5260.55,5293.75,5260.55,5282
29-Mar-10,5283.9,5329.55,5242.15,5302.8
30-Mar-10,5302.95,5325,5251.35,5262.4
31-Mar-10,5260.4,5293.9,5235.15,5249.1
01-Apr-10,5249.2,5298.6,5249.2,5290.5
05-Apr-10,5291.4,5377.55,5291.4,5368.4
06-Apr-10,5369.65,5388.65,5351.7,5366
07-Apr-10,5365.7,5399.65,5345.05,5374.6
08-Apr-10,5376.3,5383.65,5290.25,5304.4
09-Apr-10,5302.4,5377.45,5302.25,5361.7
12-Apr-10,5354.15,5382.15,5324.9,5339.7
